id,year,ethnic,gender,additive,numberID,forwardSequence,backwardSequence,fractions,placeValue,basicFacts,OTJ
4,4,NZMaori,Female,S4,S5,S4,S4,S2,S4,S2,At Standard
6,5,NZEuro,Male,S2,S2,S2,S2,S2,S2,S2,At Standard
7,5,Other,Male,S4,S4,S4,S4,S2,S4,S4,At Standard
8,4,Other,Female,S2,S4,S2,S2,S0,S2,S0,At Standard
9,5,NZMaori,Female,S4,S4,S4,S4,S0,S4,S2,At Standard
15,6,NZMaori,Female,S2,S4,S0,S5,S2,S2,S0,Below Standard
16,6,NZEuro,Male,S2,NA,S2,NA,NA,S4,S2,At Standard
20,6,NZEuro,Male,S2,S4,S2,S2,S0,S0,S0,Below Standard
21,4,NZEuro,Female,S2,S4,S2,S2,S0,S2,S2,Below Standard
23,5,NZEuro,Female,S2,S2,S2,S2,S0,S2,S0,Below Standard
26,6,NZEuro,Male,S2,S5,S2,S5,S2,S2,S2,At Standard
27,4,NZEuro,Female,S2,S2,S5,S4,S4,S4,S2,At Standard
30,5,NZMaori,Female,S2,S2,S2,S0,S0,S0,S0,Below Standard
36,5,NZEuro,Female,S2,S2,S2,S2,S2,S2,S2,At Standard
38,5,NZEuro,Female,S2,S2,S2,S2,S0,S2,S0,Below Standard
40,5,NZEuro,Male,S5,S2,S2,S2,S0,S2,S0,At Standard
45,5,NZEuro,Female,S2,S2,S2,S2,S2,S2,S2,At Standard
47,4,NZEuro,Female,S2,S2,S2,S2,S2,S2,S0,Below Standard
51,5,Other,Male,S5,S5,S5,S5,S5,S5,S5,Above Standard
57,6,NZMaori,Male,S2,S5,S4,S5,S2,S2,S4,At Standard
63,4,NZMaori,Female,S4,S4,S4,S2,S2,S2,S2,At Standard
64,6,NZEuro,Male,S5,S5,S5,S5,S5,S4,S4,At Standard
67,5,NZEuro,Male,S2,S0,S0,S0,S0,S0,S0,Below Standard
68,5,NZEuro,Male,S2,S4,S4,S2,S2,S2,S2,At Standard
72,6,NZEuro,Female,S2,S5,S2,S5,S2,S2,S0,Above Standard
73,4,NZEuro,Male,S2,S4,S5,S4,S2,S4,S4,At Standard
74,5,NZEuro,Female,S2,S2,S2,S2,S2,S2,S2,At Standard
76,5,NZEuro,Female,S2,S4,S2,S2,S0,S2,S0,Below Standard
77,5,NZEuro,Female,S2,S4,S2,S2,S0,S2,S2,Below Standard
78,4,NZEuro,Female,S2,S4,S2,S2,S2,S2,S0,At Standard
79,5,NZEuro,Female,S5,S5,S4,S2,S0,S4,S4,At Standard
84,4,NZMaori,Male,S5,S5,S5,S5,S5,S5,S5,Above Standard
85,5,Other,Female,S5,S5,S5,S5,S5,S5,S5,At Standard
88,5,NZMaori,Male,S2,S4,S2,S2,S2,S2,S2,Below Standard
92,4,NZEuro,Female,S4,S4,S2,S2,S0,S2,S2,At Standard
93,6,Pasifika,Male,S4,S2,S4,S4,S0,S2,S2,Below Standard
94,6,NZMaori,Male,S2,NA,S2,NA,S2,S2,S2,At Standard
97,4,NZMaori,Female,S2,S4,S2,S2,S0,S2,S2,At Standard
100,4,NZEuro,Male,S2,S4,S4,S4,S2,S4,S2,At Standard
104,4,NZEuro,Male,S4,S5,S2,S2,S0,S2,S2,At Standard
108,4,NZEuro,Male,S5,S5,S5,S5,S4,S4,S4,Above Standard
109,5,NZEuro,Male,S2,S4,S4,S4,S2,S2,S2,At Standard
110,5,NZEuro,Female,S5,S5,S5,S4,S2,S5,S5,At Standard
112,6,NZEuro,Female,S2,S5,S2,S5,S2,S2,S2,At Standard
113,4,NZEuro,Female,S2,S5,S4,S2,S2,S4,S2,At Standard
128,4,NZEuro,Male,S2,S2,S4,S2,S2,S2,S2,At Standard
129,5,NZEuro,Male,S5,S4,S4,S4,S2,S4,S4,Above Standard
133,5,NZEuro,Male,S2,S2,S2,S2,S0,S2,S0,At Standard
135,4,NZMaori,Female,S2,S4,S2,S4,S0,S2,S2,At Standard
137,5,NZEuro,Female,S2,S2,S2,S2,S0,S2,S2,At Standard
140,5,NZMaori,Female,S2,S2,S2,S2,S0,S2,S0,Below Standard
141,4,NZMaori,Male,S4,S4,S4,S4,S0,S4,S2,At Standard
