id,year,ethnic,gender,additive,numberID,forwardSequence,backwardSequence,fractions,placeValue,basicFacts,OTJ,Below
4,4,NZMaori,Female,S4,S5,S4,S4,S2,S4,S2,At Standard,0
6,5,NZEuro,Male,S2,S2,S2,S2,S2,S2,S2,At Standard,0
7,5,Other,Male,S4,S4,S4,S4,S2,S4,S4,At Standard,0
8,4,Other,Female,S2,S4,S2,S2,S0,S2,S0,At Standard,0
9,5,NZMaori,Female,S4,S4,S4,S4,S0,S4,S2,At Standard,0
15,6,NZMaori,Female,S2,S4,S0,S5,S2,S2,S0,Below Standard,1
20,6,NZEuro,Male,S2,S4,S2,S2,S0,S0,S0,Below Standard,1
21,4,NZEuro,Female,S2,S4,S2,S2,S0,S2,S2,Below Standard,1
23,5,NZEuro,Female,S2,S2,S2,S2,S0,S2,S0,Below Standard,1
26,6,NZEuro,Male,S2,S5,S2,S5,S2,S2,S2,At Standard,0
27,4,NZEuro,Female,S2,S2,S5,S4,S4,S4,S2,At Standard,0
30,5,NZMaori,Female,S2,S2,S2,S0,S0,S0,S0,Below Standard,1
36,5,NZEuro,Female,S2,S2,S2,S2,S2,S2,S2,At Standard,0
38,5,NZEuro,Female,S2,S2,S2,S2,S0,S2,S0,Below Standard,1
40,5,NZEuro,Male,S5,S2,S2,S2,S0,S2,S0,At Standard,0
45,5,NZEuro,Female,S2,S2,S2,S2,S2,S2,S2,At Standard,0
47,4,NZEuro,Female,S2,S2,S2,S2,S2,S2,S0,Below Standard,1
51,5,Other,Male,S5,S5,S5,S5,S5,S5,S5,Above Standard,0
57,6,NZMaori,Male,S2,S5,S4,S5,S2,S2,S4,At Standard,0
63,4,NZMaori,Female,S4,S4,S4,S2,S2,S2,S2,At Standard,0
64,6,NZEuro,Male,S5,S5,S5,S5,S5,S4,S4,At Standard,0
67,5,NZEuro,Male,S2,S0,S0,S0,S0,S0,S0,Below Standard,1
68,5,NZEuro,Male,S2,S4,S4,S2,S2,S2,S2,At Standard,0
72,6,NZEuro,Female,S2,S5,S2,S5,S2,S2,S0,Above Standard,0
73,4,NZEuro,Male,S2,S4,S5,S4,S2,S4,S4,At Standard,0
74,5,NZEuro,Female,S2,S2,S2,S2,S2,S2,S2,At Standard,0
76,5,NZEuro,Female,S2,S4,S2,S2,S0,S2,S0,Below Standard,1
77,5,NZEuro,Female,S2,S4,S2,S2,S0,S2,S2,Below Standard,1
78,4,NZEuro,Female,S2,S4,S2,S2,S2,S2,S0,At Standard,0
79,5,NZEuro,Female,S5,S5,S4,S2,S0,S4,S4,At Standard,0
84,4,NZMaori,Male,S5,S5,S5,S5,S5,S5,S5,Above Standard,0
85,5,Other,Female,S5,S5,S5,S5,S5,S5,S5,At Standard,0
88,5,NZMaori,Male,S2,S4,S2,S2,S2,S2,S2,Below Standard,1
92,4,NZEuro,Female,S4,S4,S2,S2,S0,S2,S2,At Standard,0
93,6,Pasifika,Male,S4,S2,S4,S4,S0,S2,S2,Below Standard,1
97,4,NZMaori,Female,S2,S4,S2,S2,S0,S2,S2,At Standard,0
100,4,NZEuro,Male,S2,S4,S4,S4,S2,S4,S2,At Standard,0
104,4,NZEuro,Male,S4,S5,S2,S2,S0,S2,S2,At Standard,0
108,4,NZEuro,Male,S5,S5,S5,S5,S4,S4,S4,Above Standard,0
109,5,NZEuro,Male,S2,S4,S4,S4,S2,S2,S2,At Standard,0
110,5,NZEuro,Female,S5,S5,S5,S4,S2,S5,S5,At Standard,0
